TP,FP,TN,FN,Precision,Sensitivity,F1 Score,AUC,Accuracy,Specificity
33,1,589,248,0.970588235294089,0.11743772241992839,0.20952380952380883,0.4784034018939622,0.7141216991963261,0.998305084745761
28,1,589,253,0.9655172413792771,0.09964412811387864,0.180645161290322,0.5578563242656372,0.7083811710677382,0.998305084745761
257,103,487,24,0.7138888888888869,0.9145907473309576,0.8018720748829941,0.8887809879968634,0.8541905855338691,0.8254237288135579
15,1,589,266,0.9374999999999415,0.053380782918149274,0.10101010101010066,0.44839254478557217,0.6934557979334098,0.998305084745761
121,5,585,160,0.9603174603174527,0.43060498220640414,0.5945945945945931,0.6702515230110381,0.8105625717566016,0.9915254237288118
38,1,589,243,0.9743589743589494,0.13523131672597816,0.23749999999999924,0.673719765968997,0.7198622273249139,0.998305084745761
40,0,590,241,0.9999999999999749,0.14234875444839806,0.24922118380062225,0.643950177935943,0.7233065442020666,0.9999999999999982
39,0,590,241,0.9999999999999744,0.13928571428571376,0.24451410658307132,0.5783958837772397,0.7229885057471265,0.9999999999999982
104,3,586,177,0.9719626168224209,0.37010676156583494,0.5360824742268027,0.7021219389882121,0.7931034482758621,0.9949066213921884
11,1,588,270,0.9166666666665902,0.03914590747330947,0.07508532423208165,0.4422357696560308,0.6885057471264368,0.9983022071307284
50,0,590,231,0.99999999999998,0.17793594306049756,0.3021148036253767,0.6306381567042644,0.7347876004592423,0.9999999999999982
19,0,590,262,0.9999999999999475,0.06761565836298908,0.12666666666666623,0.467181374027384,0.6991963260619977,0.9999999999999982
21,0,590,260,0.9999999999999525,0.07473309608540898,0.13907284768211872,0.445973822305326,0.7014925373134329,0.9999999999999982
27,1,589,254,0.9642857142856799,0.09608540925266869,0.17475728155339748,0.7698172386754328,0.7072330654420207,0.998305084745761
60,0,590,221,0.9999999999999833,0.2135231316725971,0.3519061583577702,0.6442698594607636,0.746268656716418,0.9999999999999982
33,2,588,248,0.9428571428571159,0.11743772241992839,0.20886075949367022,0.5910459014415826,0.7129735935706085,0.9966101694915237
8,0,590,273,0.999999999999875,0.028469750889679613,0.055363321799307766,0.6078352132215453,0.6865671641791045,0.9999999999999982
16,2,588,264,0.8888888888888395,0.05714285714285693,0.1073825503355701,0.6372669491525423,0.6942528735632184,0.9966101694915237
128,7,582,153,0.9481481481481412,0.4555160142348738,0.6153846153846139,0.6819206206309022,0.8160919540229885,0.9881154499151087
30,0,589,251,0.9999999999999667,0.10676156583629855,0.19292604501607655,0.46131630304092225,0.7114942528735633,0.9999999999999982
27,4,586,254,0.8709677419354558,0.09608540925266869,0.17307692307692252,0.584169732794499,0.703788748564868,0.9932203389830492
0,0,590,281,0.0,0.0,0.0,0.4367844863984559,0.677382319173364,0.9999999999999982
42,0,590,239,0.9999999999999761,0.14946619217081797,0.26006191950464314,0.6895108269497556,0.7256027554535017,0.9999999999999982
0,0,590,281,0.0,0.0,0.0,0.42077929911333617,0.677382319173364,0.9999999999999982
37,3,587,244,0.9249999999999768,0.1316725978647682,0.2305295950155756,0.6591561614090113,0.7164179104477612,0.9949152542372864
247,53,537,34,0.8233333333333305,0.879003558718858,0.8502581755593789,0.9553803003799989,0.9001148105625718,0.9101694915254221
54,0,590,227,0.9999999999999815,0.19217081850533738,0.32238805970149154,0.496766994390494,0.7393800229621125,0.9999999999999982
48,0,590,232,0.9999999999999791,0.1714285714285708,0.2926829268292674,0.469706416464891,0.7333333333333333,0.9999999999999982
42,0,589,239,0.9999999999999761,0.14946619217081797,0.26006191950464314,0.4962147073573038,0.725287356321839,0.9999999999999982
41,1,588,240,0.9761904761904528,0.14590747330960802,0.2538699690402469,0.6473847343648987,0.7229885057471265,0.9983022071307284
33,0,590,248,0.9999999999999697,0.11743772241992839,0.21019108280254709,0.49273176910549477,0.7152698048220436,0.9999999999999982
21,1,589,260,0.9545454545454112,0.07473309608540898,0.13861386138613815,0.49551239519874535,0.7003444316877153,0.998305084745761
36,1,589,245,0.9729729729729466,0.12811387900355825,0.22641509433962193,0.6906176488328608,0.7175660160734788,0.998305084745761
244,48,542,37,0.8356164383561615,0.8683274021352282,0.8516579406631748,0.9337203691416853,0.9024110218140069,0.9186440677966086
249,17,573,32,0.9360902255639062,0.886120996441278,0.9104204753199252,0.9494088907654262,0.9437428243398392,0.9711864406779644
45,3,587,236,0.9374999999999805,0.16014234875444783,0.27355623100303866,0.5782405452681102,0.7256027554535017,0.9949152542372864
53,1,589,228,0.9814814814814633,0.18861209964412742,0.31641791044776024,0.7183967669943906,0.7370838117106774,0.998305084745761
27,0,590,253,0.999999999999963,0.09642857142857107,0.17589576547231212,0.6397276029055691,0.7091954022988506,0.9999999999999982
143,4,585,138,0.9727891156462519,0.508896797153023,0.6682242990654189,0.7205892126712143,0.8367816091954023,0.9932088285229185
